Year,SERIES,REF_AREA,SEX,URBANISATION,Value
2018,SP_LGL_LNDDOC,,,,11.9
2018,SP_LGL_LNDDOC,,M,,12.1
2018,SP_LGL_LNDDOC,,F,,11.5
2018,SP_LGL_LNDDOC,,,U,17.2
2018,SP_LGL_LNDDOC,,M,U,17.2
2018,SP_LGL_LNDDOC,,F,U,17.3
2018,SP_LGL_LNDDOC,,,R,10.3
2018,SP_LGL_LNDDOC,,M,R,10.5
2018,SP_LGL_LNDDOC,,F,R,9.7
2018,SP_LGL_LNDDOC,1,,,19.3
2018,SP_LGL_LNDDOC,1,M,,20.3
2018,SP_LGL_LNDDOC,1,F,,16.8
2018,SP_LGL_LNDDOC,1,,U,26.0
2018,SP_LGL_LNDDOC,1,M,U,27.5
2018,SP_LGL_LNDDOC,1,F,U,22.8
2018,SP_LGL_LNDDOC,1,,R,18.0
2018,SP_LGL_LNDDOC,1,M,R,19.0
2018,SP_LGL_LNDDOC,1,F,R,15.6
2018,SP_LGL_LNDDOC,2,,,16.9
2018,SP_LGL_LNDDOC,2,M,,17.4
2018,SP_LGL_LNDDOC,2,F,,15.8
2018,SP_LGL_LNDDOC,2,,U,24.0
2018,SP_LGL_LNDDOC,2,M,U,24.3
2018,SP_LGL_LNDDOC,2,F,U,23.4
2018,SP_LGL_LNDDOC,2,,R,14.7
2018,SP_LGL_LNDDOC,2,M,R,15.3
2018,SP_LGL_LNDDOC,2,F,R,13.4
2018,SP_LGL_LNDDOC,3,,,24.8
2018,SP_LGL_LNDDOC,3,M,,25.4
2018,SP_LGL_LNDDOC,3,F,,23.1
2018,SP_LGL_LNDDOC,3,,U,35.6
2018,SP_LGL_LNDDOC,3,M,U,35.5
2018,SP_LGL_LNDDOC,3,F,U,35.9
2018,SP_LGL_LNDDOC,3,,R,14.1
2018,SP_LGL_LNDDOC,3,M,R,14.6
2018,SP_LGL_LNDDOC,3,F,R,12.8
2018,SP_LGL_LNDDOC,4,,,6.7
2018,SP_LGL_LNDDOC,4,M,,7.4
2018,SP_LGL_LNDDOC,4,F,,5.6
2018,SP_LGL_LNDDOC,4,,U,13.8
2018,SP_LGL_LNDDOC,4,M,U,14.6
2018,SP_LGL_LNDDOC,4,F,U,12.4
2018,SP_LGL_LNDDOC,4,,R,4.9
2018,SP_LGL_LNDDOC,4,M,R,5.5
2018,SP_LGL_LNDDOC,4,F,R,4.0
2018,SP_LGL_LNDDOC,5,,,15.8
2018,SP_LGL_LNDDOC,5,M,,16.2
2018,SP_LGL_LNDDOC,5,F,,14.9
2018,SP_LGL_LNDDOC,5,,U,20.2
2018,SP_LGL_LNDDOC,5,M,U,20.6
2018,SP_LGL_LNDDOC,5,F,U,19.3
2018,SP_LGL_LNDDOC,5,,R,14.2
2018,SP_LGL_LNDDOC,5,M,R,14.6
2018,SP_LGL_LNDDOC,5,F,R,13.2
2018,SP_LGL_LNDDOC,6,,,15.6
2018,SP_LGL_LNDDOC,6,M,,16.2
2018,SP_LGL_LNDDOC,6,F,,14.4
2018,SP_LGL_LNDDOC,6,,U,18.2
2018,SP_LGL_LNDDOC,6,M,U,19.1
2018,SP_LGL_LNDDOC,6,F,U,16.6
2018,SP_LGL_LNDDOC,6,,R,14.7
2018,SP_LGL_LNDDOC,6,M,R,15.3
2018,SP_LGL_LNDDOC,6,F,R,13.6
2018,SP_LGL_LNDDOC,7,,,26.4
2018,SP_LGL_LNDDOC,7,M,,27.4
2018,SP_LGL_LNDDOC,7,F,,24.0
2018,SP_LGL_LNDDOC,7,,U,27.5
2018,SP_LGL_LNDDOC,7,M,U,28.4
2018,SP_LGL_LNDDOC,7,F,U,25.9
2018,SP_LGL_LNDDOC,7,,R,26.2
2018,SP_LGL_LNDDOC,7,M,R,27.2
2018,SP_LGL_LNDDOC,7,F,R,23.4
2018,SP_LGL_LNDDOC,8,,,29.3
2018,SP_LGL_LNDDOC,8,M,,30.8
2018,SP_LGL_LNDDOC,8,F,,26.0
2018,SP_LGL_LNDDOC,8,,U,24.2
2018,SP_LGL_LNDDOC,8,M,U,25.7
2018,SP_LGL_LNDDOC,8,F,U,21.7
2018,SP_LGL_LNDDOC,8,,R,32.5
2018,SP_LGL_LNDDOC,8,M,R,33.5
2018,SP_LGL_LNDDOC,8,F,R,29.7
2018,SP_LGL_LNDDOC,9,,,14.2
2018,SP_LGL_LNDDOC,9,M,,15.2
2018,SP_LGL_LNDDOC,9,F,,12.3
2018,SP_LGL_LNDDOC,9,,U,17.6
2018,SP_LGL_LNDDOC,9,M,U,19.0
2018,SP_LGL_LNDDOC,9,F,U,15.4
2018,SP_LGL_LNDDOC,9,,R,11.7
2018,SP_LGL_LNDDOC,9,M,R,12.7
2018,SP_LGL_LNDDOC,9,F,R,9.5
2018,SP_LGL_LNDDOC,10,,,6.9
2018,SP_LGL_LNDDOC,10,M,,6.8
2018,SP_LGL_LNDDOC,10,F,,7.2
2018,SP_LGL_LNDDOC,10,,U,10.4
2018,SP_LGL_LNDDOC,10,M,U,10.3
2018,SP_LGL_LNDDOC,10,F,U,10.6
2018,SP_LGL_LNDDOC,10,,R,5.1
2018,SP_LGL_LNDDOC,10,M,R,5.1
2018,SP_LGL_LNDDOC,10,F,R,5.3
2018,SP_LGL_LNDDOC,11,,,6.2
2018,SP_LGL_LNDDOC,11,M,,6.4
2018,SP_LGL_LNDDOC,11,F,,5.9
2018,SP_LGL_LNDDOC,11,,U,6.4
2018,SP_LGL_LNDDOC,11,M,U,6.4
2018,SP_LGL_LNDDOC,11,F,U,6.6
2018,SP_LGL_LNDDOC,11,,R,6.2
2018,SP_LGL_LNDDOC,11,M,R,6.4
2018,SP_LGL_LNDDOC,11,F,R,5.7
2018,SP_LGL_LNDDOC,12,,,2.9
2018,SP_LGL_LNDDOC,12,M,,3.1
2018,SP_LGL_LNDDOC,12,F,,1.7
2018,SP_LGL_LNDDOC,12,,U,4.3
2018,SP_LGL_LNDDOC,12,M,U,4.2
2018,SP_LGL_LNDDOC,12,F,U,4.6
2018,SP_LGL_LNDDOC,12,,R,2.5
2018,SP_LGL_LNDDOC,12,M,R,2.8
2018,SP_LGL_LNDDOC,12,F,R,1.4
2018,SP_LGL_LNDDOC,13,,,2.0
2018,SP_LGL_LNDDOC,13,M,,2.1
2018,SP_LGL_LNDDOC,13,F,,1.2
2018,SP_LGL_LNDDOC,13,,U,2.4
2018,SP_LGL_LNDDOC,13,M,U,2.3
2018,SP_LGL_LNDDOC,13,F,U,3.3
2018,SP_LGL_LNDDOC,13,,R,1.9
2018,SP_LGL_LNDDOC,13,M,R,2.1
2018,SP_LGL_LNDDOC,13,F,R,0.9
2018,SP_LGL_LNDDOC,14,,,1.5
2018,SP_LGL_LNDDOC,14,M,,1.6
2018,SP_LGL_LNDDOC,14,F,,0.6
2018,SP_LGL_LNDDOC,14,,U,2.8
2018,SP_LGL_LNDDOC,14,M,U,3.0
2018,SP_LGL_LNDDOC,14,F,U,1.7
2018,SP_LGL_LNDDOC,14,,R,1.1
2018,SP_LGL_LNDDOC,14,M,R,1.3
2018,SP_LGL_LNDDOC,14,F,R,0.4
2018,SP_LGL_LNDDOC,15,,,2.9
2018,SP_LGL_LNDDOC,15,M,,3.2
2018,SP_LGL_LNDDOC,15,F,,2.1
2018,SP_LGL_LNDDOC,15,,U,8.4
2018,SP_LGL_LNDDOC,15,M,U,9.3
2018,SP_LGL_LNDDOC,15,F,U,5.6
2018,SP_LGL_LNDDOC,15,,R,2.1
2018,SP_LGL_LNDDOC,15,M,R,2.3
2018,SP_LGL_LNDDOC,15,F,R,1.8
2018,SP_LGL_LNDDOC,16,,,3.7
2018,SP_LGL_LNDDOC,16,M,,3.8
2018,SP_LGL_LNDDOC,16,F,,3.1
2018,SP_LGL_LNDDOC,16,,U,13.3
2018,SP_LGL_LNDDOC,16,M,U,13.1
2018,SP_LGL_LNDDOC,16,F,U,14.1
2018,SP_LGL_LNDDOC,16,,R,2.7
2018,SP_LGL_LNDDOC,16,M,R,2.9
2018,SP_LGL_LNDDOC,16,F,R,1.9
2018,SP_LGL_LNDSEC,,,,67.5
2018,SP_LGL_LNDSEC,,M,,67.2
2018,SP_LGL_LNDSEC,,F,,68.1
2018,SP_LGL_LNDSEC,,,U,59.5
2018,SP_LGL_LNDSEC,,M,U,58.6
2018,SP_LGL_LNDSEC,,F,U,61.7
2018,SP_LGL_LNDSEC,,,R,69.9
2018,SP_LGL_LNDSEC,,M,R,69.8
2018,SP_LGL_LNDSEC,,F,R,70.2
2018,SP_LGL_LNDSEC,1,,,61.9
2018,SP_LGL_LNDSEC,1,M,,61.3
2018,SP_LGL_LNDSEC,1,F,,63.4
2018,SP_LGL_LNDSEC,1,,U,53.5
2018,SP_LGL_LNDSEC,1,M,U,52.4
2018,SP_LGL_LNDSEC,1,F,U,55.7
2018,SP_LGL_LNDSEC,1,,R,63.5
2018,SP_LGL_LNDSEC,1,M,R,62.9
2018,SP_LGL_LNDSEC,1,F,R,65.0
2018,SP_LGL_LNDSEC,2,,,53.6
2018,SP_LGL_LNDSEC,2,M,,52.6
2018,SP_LGL_LNDSEC,2,F,,55.6
2018,SP_LGL_LNDSEC,2,,U,50.4
2018,SP_LGL_LNDSEC,2,M,U,48.7
2018,SP_LGL_LNDSEC,2,F,U,53.5
2018,SP_LGL_LNDSEC,2,,R,54.6
2018,SP_LGL_LNDSEC,2,M,R,53.8
2018,SP_LGL_LNDSEC,2,F,R,56.3
2018,SP_LGL_LNDSEC,3,,,47.3
2018,SP_LGL_LNDSEC,3,M,,45.9
2018,SP_LGL_LNDSEC,3,F,,51.6
2018,SP_LGL_LNDSEC,3,,U,46.7
2018,SP_LGL_LNDSEC,3,M,U,45.2
2018,SP_LGL_LNDSEC,3,F,U,52.0
2018,SP_LGL_LNDSEC,3,,R,48.0
2018,SP_LGL_LNDSEC,3,M,R,46.7
2018,SP_LGL_LNDSEC,3,F,R,51.3
2018,SP_LGL_LNDSEC,4,,,64.7
2018,SP_LGL_LNDSEC,4,M,,62.6
2018,SP_LGL_LNDSEC,4,F,,68.1
2018,SP_LGL_LNDSEC,4,,U,43.5
2018,SP_LGL_LNDSEC,4,M,U,41.4
2018,SP_LGL_LNDSEC,4,F,U,47.4
2018,SP_LGL_LNDSEC,4,,R,70.0
2018,SP_LGL_LNDSEC,4,M,R,68.3
2018,SP_LGL_LNDSEC,4,F,R,72.7
2018,SP_LGL_LNDSEC,5,,,48.5
2018,SP_LGL_LNDSEC,5,M,,46.6
2018,SP_LGL_LNDSEC,5,F,,53.2
2018,SP_LGL_LNDSEC,5,,U,49.8
2018,SP_LGL_LNDSEC,5,M,U,47.0
2018,SP_LGL_LNDSEC,5,F,U,56.2
2018,SP_LGL_LNDSEC,5,,R,48.0
2018,SP_LGL_LNDSEC,5,M,R,46.5
2018,SP_LGL_LNDSEC,5,F,R,52.0
2018,SP_LGL_LNDSEC,6,,,59.0
2018,SP_LGL_LNDSEC,6,M,,54.9
2018,SP_LGL_LNDSEC,6,F,,67.1
2018,SP_LGL_LNDSEC,6,,U,53.4
2018,SP_LGL_LNDSEC,6,M,U,48.7
2018,SP_LGL_LNDSEC,6,F,U,61.8
2018,SP_LGL_LNDSEC,6,,R,60.8
2018,SP_LGL_LNDSEC,6,M,R,56.8
2018,SP_LGL_LNDSEC,6,F,R,69.0
2018,SP_LGL_LNDSEC,7,,,69.4
2018,SP_LGL_LNDSEC,7,M,,67.6
2018,SP_LGL_LNDSEC,7,F,,74.2
2018,SP_LGL_LNDSEC,7,,U,72.1
2018,SP_LGL_LNDSEC,7,M,U,70.4
2018,SP_LGL_LNDSEC,7,F,U,75.4
2018,SP_LGL_LNDSEC,7,,R,68.9
2018,SP_LGL_LNDSEC,7,M,R,67.1
2018,SP_LGL_LNDSEC,7,F,R,73.9
2018,SP_LGL_LNDSEC,8,,,42.7
2018,SP_LGL_LNDSEC,8,M,,39.0
2018,SP_LGL_LNDSEC,8,F,,51.2
2018,SP_LGL_LNDSEC,8,,U,48.6
2018,SP_LGL_LNDSEC,8,M,U,44.5
2018,SP_LGL_LNDSEC,8,F,U,55.6
2018,SP_LGL_LNDSEC,8,,R,39.0
2018,SP_LGL_LNDSEC,8,M,R,36.0
2018,SP_LGL_LNDSEC,8,F,R,47.4
2018,SP_LGL_LNDSEC,9,,,72.7
2018,SP_LGL_LNDSEC,9,M,,68.5
2018,SP_LGL_LNDSEC,9,F,,80.7
2018,SP_LGL_LNDSEC,9,,U,71.4
2018,SP_LGL_LNDSEC,9,M,U,68.5
2018,SP_LGL_LNDSEC,9,F,U,76.1
2018,SP_LGL_LNDSEC,9,,R,73.7
2018,SP_LGL_LNDSEC,9,M,R,68.6
2018,SP_LGL_LNDSEC,9,F,R,84.7
2018,SP_LGL_LNDSEC,10,,,67.0
2018,SP_LGL_LNDSEC,10,M,,64.5
2018,SP_LGL_LNDSEC,10,F,,75.1
2018,SP_LGL_LNDSEC,10,,U,62.8
2018,SP_LGL_LNDSEC,10,M,U,60.3
2018,SP_LGL_LNDSEC,10,F,U,70.1
2018,SP_LGL_LNDSEC,10,,R,69.2
2018,SP_LGL_LNDSEC,10,M,R,66.6
2018,SP_LGL_LNDSEC,10,F,R,77.9
2018,SP_LGL_LNDSEC,11,,,60.3
2018,SP_LGL_LNDSEC,11,M,,61.1
2018,SP_LGL_LNDSEC,11,F,,57.7
2018,SP_LGL_LNDSEC,11,,U,55.2
2018,SP_LGL_LNDSEC,11,M,U,56.6
2018,SP_LGL_LNDSEC,11,F,U,49.7
2018,SP_LGL_LNDSEC,11,,R,61.7
2018,SP_LGL_LNDSEC,11,M,R,62.5
2018,SP_LGL_LNDSEC,11,F,R,59.6
2018,SP_LGL_LNDSEC,12,,,90.3
2018,SP_LGL_LNDSEC,12,M,,91.9
2018,SP_LGL_LNDSEC,12,F,,82.2
2018,SP_LGL_LNDSEC,12,,U,83.0
2018,SP_LGL_LNDSEC,12,M,U,84.4
2018,SP_LGL_LNDSEC,12,F,U,69.9
2018,SP_LGL_LNDSEC,12,,R,92.0
2018,SP_LGL_LNDSEC,12,M,R,93.9
2018,SP_LGL_LNDSEC,12,F,R,83.7
2018,SP_LGL_LNDSEC,13,,,97.7
2018,SP_LGL_LNDSEC,13,M,,98.0
2018,SP_LGL_LNDSEC,13,F,,96.0
2018,SP_LGL_LNDSEC,13,,U,94.5
2018,SP_LGL_LNDSEC,13,M,U,95.0
2018,SP_LGL_LNDSEC,13,F,U,90.8
2018,SP_LGL_LNDSEC,13,,R,98.2
2018,SP_LGL_LNDSEC,13,M,R,98.6
2018,SP_LGL_LNDSEC,13,F,R,96.6
2018,SP_LGL_LNDSEC,14,,,89.8
2018,SP_LGL_LNDSEC,14,M,,91.8
2018,SP_LGL_LNDSEC,14,F,,76.1
2018,SP_LGL_LNDSEC,14,,U,80.4
2018,SP_LGL_LNDSEC,14,M,U,81.1
2018,SP_LGL_LNDSEC,14,F,U,75.1
2018,SP_LGL_LNDSEC,14,,R,92.1
2018,SP_LGL_LNDSEC,14,M,R,94.5
2018,SP_LGL_LNDSEC,14,F,R,76.3
2018,SP_LGL_LNDSEC,15,,,91.5
2018,SP_LGL_LNDSEC,15,M,,93.8
2018,SP_LGL_LNDSEC,15,F,,86.4
2018,SP_LGL_LNDSEC,15,,U,83.9
2018,SP_LGL_LNDSEC,15,M,U,84.3
2018,SP_LGL_LNDSEC,15,F,U,82.8
2018,SP_LGL_LNDSEC,15,,R,92.6
2018,SP_LGL_LNDSEC,15,M,R,95.4
2018,SP_LGL_LNDSEC,15,F,R,86.7
2018,SP_LGL_LNDSEC,16,,,93.0
2018,SP_LGL_LNDSEC,16,M,,93.4
2018,SP_LGL_LNDSEC,16,F,,91.1
2018,SP_LGL_LNDSEC,16,,U,77.3
2018,SP_LGL_LNDSEC,16,M,U,77.8
2018,SP_LGL_LNDSEC,16,F,U,75.0
2018,SP_LGL_LNDSEC,16,,R,94.7
2018,SP_LGL_LNDSEC,16,M,R,95.1
2018,SP_LGL_LNDSEC,16,F,R,92.9
